Member;Counterpart;Property;Value;Key;Comment;range_low;range_high
A;;speaking proportion;0,36;s;Redeanteil in Meetings;0;1.0
A;;dominance;0,25;d;Dominanz in Meetings;0;1.0
A;B;affection;-0,77;a;Zuneigung;-1.0;1.0
A;B;obedience;-0,18;o;Gehorsamkeit;-1.0;1.0
A;B;provision of resources;0,58;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
A;B;intensity of collaboration;0,94;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
A;B;open conflict;0,87;c;Offener Konflikt;0;1.0
A;C;affection;-0,20;a;Zuneigung;-1.0;1.0
A;C;obedience;0,38;o;Gehorsamkeit;-1.0;1.0
A;C;provision of resources;-0,49;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
A;C;intensity of collaboration;0,14;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
A;C;open conflict;0,30;c;Offener Konflikt;0;1.0
A;D;affection;-0,76;a;Zuneigung;-1.0;1.0
A;D;obedience;0,02;o;Gehorsamkeit;-1.0;1.0
A;D;provision of resources;0,03;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
A;D;intensity of collaboration;0,44;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
A;D;open conflict;0,60;c;Offener Konflikt;0;1.0
A;E;affection;-0,03;a;Zuneigung;-1.0;1.0
A;E;obedience;0,67;o;Gehorsamkeit;-1.0;1.0
A;E;provision of resources;0,95;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
A;E;intensity of collaboration;0,94;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
A;E;open conflict;0,10;c;Offener Konflikt;0;1.0
B;;speaking proportion;0,09;s;Redeanteil in Meetings;0;1.0
B;;dominance;0,96;d;Dominanz in Meetings;0;1.0
B;A;affection;0,86;a;Zuneigung;-1.0;1.0
B;A;obedience;-0,35;o;Gehorsamkeit;-1.0;1.0
B;A;provision of resources;0,83;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
B;A;intensity of collaboration;0,35;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
B;A;open conflict;0,99;c;Offener Konflikt;0;1.0
B;C;affection;0,00;a;Zuneigung;-1.0;1.0
B;C;obedience;0,97;o;Gehorsamkeit;-1.0;1.0
B;C;provision of resources;0,44;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
B;C;intensity of collaboration;0,05;i;Umfang der Zusammenarbeit (Zeit, Anzahl Nachrichten);-1.0;1.0
B;C;open conflict;0,89;c;Offener Konflikt;0;1.0
B;D;affection;0,88;a;Zuneigung;-1.0;1.0
B;D;obedience;-0,86;o;Gehorsamkeit;-1.0;1.0
B;D;provision of resources;0,49;r;Bereitstellung von Ressourcen (Knowhow, Informationen, Zuarbeit);-1.0;1.0
